2010년,내국인,중국,베트남,미국,태국,몽골,우즈베키스탄,스리랑카,필리핀,대만,러시아,기타,
 절도 ," 104,577 ", 501 , 174 , 101 , 13 , 276 , 63 , 18 , 41 , 20 , 56 , 160 ,
 장물 ," 6,426 ", 10 , 8 , - , 1 , 6 , 3 , - , - , 1 , 1 , 5 ,
 사기 ," 237,397 "," 1,109 ", 31 , 96 , 9 , 26 , 14 , 1 , 11 , 60 , 8 , 109 ,
 횡령 ," 28,865 ", 51 , 9 , 10 , 1 , 5 , 5 , 1 , 3 , 5 , 2 , 19 ,
 배임 ," 7,587 ", 2 , - , 3 , - , - , - , - , - , - , - , 3 ,
 손괴 ," 27,089 ", 134 , 5 , 35 , - , 41 , 5 , - , 2 , 6 , 3 , 35 ,
 살인 ," 1,021 ", 38 , 6 , 1 , 3 , 1 , 1 , - , - , - , - , 2 ,
 강도 ," 3,478 ", 48 , 40 , 9 , 1 , 9 , 4 , 6 , 5 , - , - , 11 ,
 방화 ," 1,309 ", 7 , 1 , 1 , 1 , - , 1 , 1 , - , - , - , - ,
 강간 ," 17,126 ", 58 , 4 , 26 , 4 , 7 , 12 , 15 , 3 , 8 , 2 , 62 ,
 폭행 ," 142,936 ", 812 , 52 , 145 , 8 , 85 , 21 , 14 , 14 , 32 , 12 , 112 ,
 상해 ," 99,787 ", 672 , 47 , 80 , 8 , 70 , 13 , 11 , 9 , 20 , 16 , 86 ,
 협박 ," 4,041 ", 17 , 3 , 5 , 1 , - , - , 1 , 2 , - , - , 5 ,
 공갈 ," 3,870 ", 8 , 4 , - , - , - , 1 , - , - , - , - , - ,
 약취와유인 , 262 , 1 , 2 , 1 , - , - , - , - , - , - , - , - ,
 체포와감금 , 854 , 2 , - , 1 , - , - , 1 , - , - , - , - , - ,
 폭력행위등(단체등의구성?활동) , 673 , 5 , - , 1 , - , - , - , - , - , - , - , - ,
 폭력행위등처벌에관한법률위반 ," 95,707 "," 1,127 ", 208 , 128 , 102 , 140 , 38 , 23 , 58 , 14 , 16 , 181 ,
 통화 ," 2,526 ", - , - , - , - , - , - , - , - , - , - , 1 ,
 유가증권.인지.우표 ," 1,193 ", - , - , - , - , 1 , - , - , - , - , - , 3 ,
 문서 ," 22,521 ", 916 , 479 , 11 , 43 , 24 , 10 , 7 , 13 , 9 , 5 , 77 ,
 인장 , 381 , 2 , - , 1 , - , - , 1 , - , - , - , - , 1 ,
 직무유기 ," 1,176 ", - , - , - , - , - , - , - , - , - , - , - ,
 직권남용 , 664 , - , - , - , - , - , - , - , - , - , - , - ,
 수뢰 ," 1,310 ", - , - , - , - , - , - , - , - , - , - , - ,
 증뢰 ," 1,082 ", 5 , - , 1 , - , - , - , - , - , - , - , - ,
 간통 ," 3,284 ", 10 , 11 , - , - , 1 , - , - , 2 , - , 1 , 2 ,
 혼인빙자간음 , 36 , - , - , - , - , - , - , - , - , - , - , - ,
 기타음란행위 , 665 , 6 , 2 , 1 , - , - , - , - , 1 , - , - , 3 ,
 도박과복표 ," 36,361 ", 671 , 144 , 2 , 61 , 1 , - , 13 , 17 , 3 , 1 , 24 ,
 신앙 , 419 , - , - , - , - , - , - , - , - , - , - , - ,
 과실치사상 ," 1,513 ", 1 , 1 , 4 , - , 1 , - , - , - , - , - , 4 ,
 업무상과실치사상 ," 3,777 ", 15 , - , 2 , - , 1 , - , 1 , 3 , 1 , 1 , 7 ,
 실화 ," 1,170 ", 10 , 3 , - , 2 , 1 , - , - , - , 2 , - , 2 ,
 명예 ," 16,349 ", 11 , - , 7 , - , - , - , - , 1 , - , - , 9 ,
 권리행사방해 ," 4,759 ", 3 , - , 2 , - , - , - , - , - , - , - , 10 ,
 신용업무경매 ," 20,866 ", 87 , 1 , 13 , - , 4 , 1 , 3 , - , 5 , 3 , 13 ,
 주거침입 ," 5,506 ", 32 , 2 , 5 , - , 7 , 3 , 3 , - , 3 , 1 , 9 ,
 비밀침해 , 48 , - , - , - , - , - , - , - , - , - , - , - ,
 유기 , 111 , 1 , - , - , - , - , - , - , - , - , - , - ,
 낙태 , 77 , - , - , - , - , - , 1 , - , - , - , - , - ,
 아편 , - , - , - , - , - , - , - , - , - , - , - , - ,
 교통방해 ," 1,714 ", 8 , - , - , - , - , - , - , 3 , - , 2 , 7 ,
 공무방해 ," 15,582 ", 98 , 5 , 11 , - , 5 , 1 , 1 , - , 2 , 2 , 14 ,
 도주와범인은닉 ," 1,418 ", 2 , 2 , 1 , 1 , - , - , - , - , - , - , - ,
 위증과증거인멸 ," 2,811 ", 1 , - , 1 , - , - , - , - , - , - , 1 , 1 ,
 무고 ," 3,237 ", 2 , - , 4 , - , - , - , - , - , - , - , 1 ,
 공안을해하는죄 , 25 , - , - , - , - , - , - , - , - , - , - , - ,
 내란의죄 , - , - , - , - , - , - , - , - , - , - , - , - ,
 음용수에관한죄 , 34 , - , - , - , - , - , - , - , - , - , - , - ,
 일수와수리에관한죄 , 16 , - , - , - , - , - , - , - , - , - , - , - ,
 기타 , 2 , - , - , - , - , - , - , - , - , - , - , - ,
 가정폭력범죄의처벌등에관한특례법 , 11 , - , - , - , - , - , - , - , - , - , - , - ,
 개발제한구역의지정및관리에관한특별조치법 ," 2,828 ", 1 , - , 1 , - , - , - , - , - , - , - , - ,
 개항질서법위반 , 451 , 1 , - , - , - , - , - , - , - , - , 3 , 1 ,
 건설기계관리법위반 , 629 , - , - , - , - , - , - , - , 1 , - , - , - ,
 건설산업기본법위반 , 924 , - , - , - , - , - , - , - , - , - , - , - ,
 건축법위반 ," 5,512 ", 2 , - , 2 , - , - , - , - , - , - , - , 2 ,
 고용보험법위반 , 448 , - , - , - , - , - , - , - , - , - , - , - ,
 골재채취법위반 , 153 , - , - , - , - , - , - , - , - , - , - , - ,
 공업배치및공장설립에관한법률위반 , - , - , - , - , - , - , - , - , - , - , - , - ,
 공유수면관리법위반 , 306 , - , - , - , - , - , - , - , - , - , - , - ,
 공중위생관리법위반 , 612 , - , - , - , - , - , - , - , - , - , - , - ,
 공직선거법위반 ," 2,922 ", - , - , - , - , - , - , - , - , - , - , - ,
 관세법위반 , 455 , 2 , - , - , - , - , - , - , - , - , 1 , - ,
 교통사고처리특례법위반 ," 192,335 ", 145 , 19 , 134 , 9 , 28 , 11 , 9 , 6 , 11 , 2 , 70 ,
 국가기술자격법위반 , 608 , - , - , - , - , - , - , - , - , - , - , - ,
 국가보안법위반 , 52 , - , - , - , - , - , - , - , - , - , - , - ,
 국민연금법위반 , 46 , - , - , - , - , - , - , - , - , - , - , - ,
 근로기준법위반 ," 16,159 ", 5 , - , 6 , 5 , - , - , - , 1 , - , - , 7 ,
 낚시어선업법위반 , 188 , - , - , - , - , - , - , - , - , - , - , - ,
 내수면어업법위반 , 137 , - , - , - , - , - , - , - , - , - , - , - ,
 노동조합및노동관계조정법위반 , 279 , - , - , 1 , - , - , - , - , - , - , - , - ,
 농산물품질관리법위반 , 864 , - , - , - , - , - , - , - , - , - , - , - ,
 농수산물유통및가격안정에관한법률 , 70 , - , - , - , - , - , - , - , - , - , - , - ,
 농업협동조합법위반 , 869 , - , - , - , - , - , - , - , - , - , - , - ,
 농지법위반 , 988 , - , - , - , - , - , - , - , - , - , - , - ,
 담배사업법위반 , 251 , 8 , - , - , - , - , - , - , - , - , - , - ,
 대기환경보전법위반 ," 1,229 ", - , - , - , - , - , - , - , - , - , - , - ,
